data,cambio
26/08/1997,1.0917
27/08/1997,1.0914
28/08/1997,1.0908
29/08/1997,1.0908
01/09/1997,1.0906
02/09/1997,1.0914
03/09/1997,1.0917
04/09/1997,1.0917
05/09/1997,1.0921
08/09/1997,1.0908
09/09/1997,1.0907
11/09/1997,1.0914
12/09/1997,1.0917
15/09/1997,1.0919
16/09/1997,1.0924
18/09/1997,1.0934
19/09/1997,1.0935
22/09/1997,1.0941
23/09/1997,1.0944
24/09/1997,1.0946
25/09/1997,1.0947
26/09/1997,1.0953
29/09/1997,1.0954
30/09/1997,1.0956
01/10/1997,1.0959
02/10/1997,1.0962
03/10/1997,1.0963
06/10/1997,1.0966
07/10/1997,1.0969
08/10/1997,1.0971
09/10/1997,1.0974
10/10/1997,1.0977
13/10/1997,1.0977
15/10/1997,1.0986
16/10/1997,1.0988
17/10/1997,1.0992
20/10/1997,1.0995
21/10/1997,1.0996
22/10/1997,1.1
23/10/1997,1.1001
24/10/1997,1.1004
27/10/1997,1.1019
28/10/1997,1.1056
29/10/1997,1.1016
30/10/1997,1.1055
31/10/1997,1.1023
03/11/1997,1.1022
04/11/1997,1.1033
05/11/1997,1.1033
06/11/1997,1.1061
07/11/1997,1.1074
10/11/1997,1.1045
11/11/1997,1.1042
12/11/1997,1.1056
13/11/1997,1.1062
14/11/1997,1.1074
17/11/1997,1.1059
18/11/1997,1.1058
19/11/1997,1.1073
20/11/1997,1.1073
21/11/1997,1.1086
24/11/1997,1.1089
25/11/1997,1.1096
26/11/1997,1.1096
27/11/1997,1.1081
01/12/1997,1.1088
02/12/1997,1.1088
03/12/1997,1.1096
04/12/1997,1.1098
05/12/1997,1.1097
08/12/1997,1.1111
09/12/1997,1.1114
10/12/1997,1.1121
11/12/1997,1.1143
12/12/1997,1.1154
15/12/1997,1.1135
16/12/1997,1.1126
17/12/1997,1.1133
18/12/1997,1.1136
22/12/1997,1.1143
23/12/1997,1.1142
24/12/1997,1.1142
26/12/1997,1.1143
29/12/1997,1.1149
30/12/1997,1.1156
31/12/1997,1.1156
02/01/1998,1.1157
05/01/1998,1.1157
06/01/1998,1.1161
07/01/1998,1.1167
08/01/1998,1.1172
09/01/1998,1.1176
12/01/1998,1.1184
13/01/1998,1.1179
14/01/1998,1.1182
15/01/1998,1.1198
16/01/1998,1.1197
19/01/1998,1.1193
20/01/1998,1.1197
21/01/1998,1.1199
22/01/1998,1.1198
23/01/1998,1.1207
26/01/1998,1.1208
27/01/1998,1.1216
28/01/1998,1.1219
29/01/1998,1.1222
30/01/1998,1.1229
02/02/1998,1.1228
03/02/1998,1.1236
04/02/1998,1.1237
05/02/1998,1.1237
06/02/1998,1.1246
09/02/1998,1.1247
10/02/1998,1.1256
11/02/1998,1.1257
13/02/1998,1.1268
16/02/1998,1.1266
17/02/1998,1.1276
18/02/1998,1.1278
19/02/1998,1.1284
20/02/1998,1.1287
25/02/1998,1.1289
27/02/1998,1.1296
02/03/1998,1.1297
03/03/1998,1.1298
04/03/1998,1.1306
05/03/1998,1.1306
06/03/1998,1.1307
09/03/1998,1.1315
10/03/1998,1.1316
11/03/1998,1.1317
13/03/1998,1.1326
16/03/1998,1.1327
17/03/1998,1.1327
18/03/1998,1.1336
19/03/1998,1.1336
20/03/1998,1.1338
23/03/1998,1.1341
24/03/1998,1.1344
26/03/1998,1.1352
27/03/1998,1.1356
30/03/1998,1.1357
31/03/1998,1.1366
01/04/1998,1.1367
02/04/1998,1.1367
03/04/1998,1.1376
08/04/1998,1.1386
13/04/1998,1.1389
14/04/1998,1.1396
15/04/1998,1.1399
16/04/1998,1.1401
17/04/1998,1.1406
22/04/1998,1.1417
24/04/1998,1.1427
27/04/1998,1.1433
28/04/1998,1.1441
29/04/1998,1.1445
30/04/1998,1.1435
04/05/1998,1.1434
05/05/1998,1.1441
06/05/1998,1.1444
07/05/1998,1.1443
08/05/1998,1.1447
11/05/1998,1.1451
12/05/1998,1.1455
13/05/1998,1.1466
14/05/1998,1.1465
15/05/1998,1.1464
18/05/1998,1.1467
20/05/1998,1.1481
21/05/1998,1.1489
22/05/1998,1.1507
25/05/1998,1.1508
26/05/1998,1.1523
27/05/1998,1.1512
28/05/1998,1.1492
29/05/1998,1.1497
01/06/1998,1.1512
02/06/1998,1.1509
04/06/1998,1.1509
05/06/1998,1.1516
08/06/1998,1.1521
09/06/1998,1.1528
10/06/1998,1.1538
12/06/1998,1.1545
15/06/1998,1.1543
16/06/1998,1.1541
17/06/1998,1.1545
18/06/1998,1.1549
19/06/1998,1.1554
22/06/1998,1.1546
23/06/1998,1.1547
24/06/1998,1.1551
25/06/1998,1.1553
26/06/1998,1.1556
29/06/1998,1.1558
30/06/1998,1.1561
01/07/1998,1.1564
02/07/1998,1.1564
03/07/1998,1.1567
06/07/1998,1.1575
07/07/1998,1.1581
08/07/1998,1.1589
09/07/1998,1.1604
10/07/1998,1.1604
